instance	master	x	y	orient	input_net	output_net	upstream_loads	output_loads	merged_fanout	driver_term
FE_OFC718_01434	BUF_X1	141.36	119.28	MX	_01434_	FE_OFN1435_n	6	13	18	_10223_/ZN
FE_OFC703_01816	BUF_X1	75.24	133.28	R180	_01816_	FE_OFN703_01816	5	16	20	_10612_/Z
FE_OFC702_01816	BUF_X1	90.44	137.48	R0	_01816_	FE_OFN702_01816	5	13	17	_10612_/Z
FE_OFC701_01815	BUF_X1	68.4	137.48	R0	FE_OFN700_01815	FE_OFN701_01815	13	15	27	FE_OFC700_01815/Z
FE_OFC694_08483	BUF_X1	96.71	123.48	MY	FE_OFN692_08483	FE_OFN694_08483	13	12	24	FE_OFC692_08483/Z
FE_OFC693_08483	BUF_X1	113.24	112.28	R0	FE_OFN691_08483	FE_OFN693_08483	12	16	27	FE_OFC691_08483/Z
FE_OFC692_08483	BUF_X1	97.28	110.88	MX	FE_OFN690_08483	FE_OFN692_08483	12	13	24	FE_OFC690_08483/Z
FE_OFC691_08483	BUF_X1	99.37	105.28	MX	FE_OFN690_08483	FE_OFN691_08483	12	12	23	FE_OFC690_08483/Z
FE_OFC689_08482	BUF_X1	112.1	126.28	MY	FE_OFN687_08482	FE_OFN689_08482	16	15	30	FE_OFC687_08482/Z
FE_OFC688_08482	BUF_X1	94.05	112.28	R0	FE_OFN686_08482	FE_OFN688_08482	11	16	26	FE_OFC686_08482/Z
FE_OFC687_08482	BUF_X1	113.24	110.88	R180	FE_OFN686_08482	FE_OFN687_08482	11	16	26	FE_OFC686_08482/Z
FE_OFC685_08452	BUF_X1	107.16	109.48	R0	_08452_	FE_OFN685_08452	9	16	24	_17737_/ZN
FE_OFC684_08452	BUF_X1	94.81	103.88	R0	_08452_	FE_OFN684_08452	9	15	23	_17737_/ZN
FE_OFC683_08451	BUF_X1	98.61	127.68	MX	FE_OFN682_08451	FE_OFN683_08451	16	13	28	FE_OFC682_08451/Z
FE_OFC682_08451	BUF_X1	90.25	110.88	MX	FE_OFN681_08451	FE_OFN682_08451	14	16	29	FE_OFC681_08451/Z
FE_OFC653_03521	BUF_X1	77.52	43.68	MX	_03521_	FE_OFN653_03521	4	14	17	_12344_/ZN
FE_OFC641_02272	BUF_X1	149.91	155.68	MX	FE_OFN640_02272	FE_OFN641_02272	14	15	28	FE_OFC640_02272/Z
FE_OFC640_02272	BUF_X1	137.94	159.88	R0	FE_OFN638_02272	FE_OFN640_02272	15	14	28	FE_OFC638_02272/Z
FE_OFC639_02272	BUF_X1	140.22	141.68	MX	FE_OFN638_02272	FE_OFN639_02272	15	15	29	FE_OFC638_02272/Z
FE_OFC637_02271	BUF_X1	155.8	147.28	MX	FE_OFN635_02271	FE_OFN637_02271	16	14	29	FE_OFC635_02271/Z
FE_OFC636_02271	BUF_X1	135.28	151.48	MY	FE_OFN634_02271	FE_OFN636_02271	14	15	28	FE_OFC634_02271/Z
FE_OFC635_02271	BUF_X1	141.55	140.28	MY	FE_OFN634_02271	FE_OFN635_02271	14	16	29	FE_OFC634_02271/Z
FE_OFC632_02222	BUF_X1	137.56	162.68	R0	FE_OFN630_02222	FE_OFN632_02222	12	16	27	FE_OFC630_02222/Z
FE_OFC631_02222	BUF_X1	144.97	141.68	MX	_02222_	FE_OFN631_02222	8	12	19	_11025_/ZN
FE_OFC630_02222	BUF_X1	133.38	147.28	MX	_02222_	FE_OFN630_02222	8	12	19	_11025_/ZN
FE_OFC629_02221	BUF_X1	155.8	152.88	MX	FE_OFN628_02221	FE_OFN629_02221	16	16	31	FE_OFC628_02221/Z
FE_OFC628_02221	BUF_X1	143.45	140.28	R0	_02221_	FE_OFN628_02221	11	16	26	_11024_/Z
FE_OFC627_02221	BUF_X1	138.7	148.68	MY	_02221_	FE_OFN627_02221	11	14	24	_11024_/Z
FE_OFC611_00305	BUF_X1	14.06	59.08	R0	_00305_	FE_OFN611_00305	9	9	17	_13365_/ZN
FE_OFC610_00304	BUF_X1	12.16	60.48	MX	FE_OFN609_00304	FE_OFN610_00304	13	16	28	FE_OFC609_00304/Z
FE_OFC609_00304	BUF_X1	11.97	47.88	MY	_00304_	FE_OFN609_00304	10	13	22	_13369_/ZN
FE_OFC608_00303	BUF_X1	16.91	56.28	R0	_00303_	FE_OFN608_00303	12	12	23	_13373_/ZN
FE_OFC607_00303	BUF_X1	15.96	53.48	MY	_00303_	FE_OFN607_00303	12	15	26	_13373_/ZN
FE_OFC606_00303	BUF_X1	12.73	45.08	R0	_00303_	FE_OFN606_00303	12	15	26	_13373_/ZN
FE_OFC605_00302	BUF_X1	21.47	49.28	MX	_00302_	FE_OFN605_00302	16	16	31	_13377_/ZN
FE_OFC604_00302	BUF_X1	33.63	47.88	R0	_00302_	FE_OFN604_00302	16	16	31	_13377_/ZN
FE_OFC603_00299	BUF_X1	38.76	50.68	MY	_00299_	FE_OFN603_00299	6	13	18	_13386_/ZN
FE_OFC602_00298	BUF_X1	43.13	101.08	MY	FE_OFN601_00298	FE_OFN602_00298	16	13	28	FE_OFC601_00298/Z
FE_OFC601_00298	BUF_X1	42.56	88.48	R180	_00298_	FE_OFN601_00298	14	16	29	_12756_/ZN
FE_OFC600_00296	BUF_X1	27.74	77.28	R180	_00296_	FE_OFN600_00296	6	16	21	_12714_/ZN
FE_OFC599_00296	BUF_X1	36.29	77.28	MX	_00296_	FE_OFN599_00296	6	16	21	_12714_/ZN
FE_OFC598_00291	BUF_X1	42.37	141.68	R180	_00291_	FE_OFN598_00291	10	15	24	_13289_/ZN
FE_OFC597_00290	BUF_X1	44.84	141.68	MX	_00290_	FE_OFN597_00290	13	16	28	_13293_/ZN
FE_OFC596_00289	BUF_X1	43.13	159.88	MY	FE_OFN594_00289	FE_OFN596_00289	16	16	31	FE_OFC594_00289/Z
FE_OFC595_00289	BUF_X1	21.28	144.48	MX	_00289_	FE_OFN595_00289	15	14	28	_13297_/ZN
FE_OFC594_00289	BUF_X1	41.04	144.48	MX	_00289_	FE_OFN594_00289	15	16	30	_13297_/ZN
FE_OFC593_00288	BUF_X1	35.15	45.08	MY	_00288_	FE_OFN593_00288	14	11	24	_13392_/ZN
FE_OFC592_00287	BUF_X1	33.25	158.48	R180	FE_OFN591_00287	FE_OFN592_00287	16	16	31	FE_OFC591_00287/Z
FE_OFC591_00287	BUF_X1	38.19	140.28	R0	_00287_	FE_OFN591_00287	15	16	30	_13301_/ZN
FE_OFC590_00286	BUF_X1	20.14	159.88	MY	FE_OFN589_00286	FE_OFN590_00286	15	10	24	FE_OFC589_00286/Z
FE_OFC589_00286	BUF_X1	20.9	137.48	MY	_00286_	FE_OFN589_00286	3	15	17	_13310_/ZN
FE_OFC588_00285	BUF_X1	17.86	141.68	R180	_00285_	FE_OFN588_00285	10	16	25	_13314_/ZN
FE_OFC587_00284	BUF_X1	33.82	137.48	MY	_00284_	FE_OFN587_00284	4	16	19	_13323_/ZN
FE_OFC586_00282	BUF_X1	34.01	108.08	MX	_00282_	FE_OFN586_00282	13	12	24	_13330_/ZN
FE_OFC585_00281	BUF_X1	19.38	119.28	MX	FE_OFN584_00281	FE_OFN585_00281	12	13	24	FE_OFC584_00281/Z
FE_OFC584_00281	BUF_X1	31.73	115.08	MY	_00281_	FE_OFN584_00281	7	12	18	_13334_/ZN
FE_OFC583_00280	BUF_X1	36.86	124.88	MX	FE_OFN581_00280	FE_OFN583_00280	14	13	26	FE_OFC581_00280/Z
FE_OFC582_00280	BUF_X1	13.3	126.28	R0	FE_OFN580_00280	FE_OFN582_00280	13	16	28	FE_OFC580_00280/Z
FE_OFC581_00280	BUF_X1	34.77	112.28	R0	_00280_	FE_OFN581_00280	12	14	25	_13338_/ZN
FE_OFC580_00280	BUF_X1	28.12	113.68	R180	_00280_	FE_OFN580_00280	12	13	24	_13338_/ZN
FE_OFC579_00277	BUF_X1	35.72	45.08	R0	_00277_	FE_OFN579_00277	8	12	19	_13401_/ZN
FE_OFC578_09161	BUF_X1	68.4	52.08	R180	FE_OFN576_09161	FE_OFN578_09161	15	15	29	FE_OFC576_09161/Z
FE_OFC577_09161	BUF_X1	52.25	63.28	MX	FE_OFN575_09161	FE_OFN577_09161	13	16	28	FE_OFC575_09161/Z
FE_OFC576_09161	BUF_X1	58.33	52.08	R180	FE_OFN575_09161	FE_OFN576_09161	13	15	27	FE_OFC575_09161/Z
FE_OFC574_09160	BUF_X1	61.75	64.68	R0	FE_OFN573_09160	FE_OFN574_09160	13	12	24	FE_OFC573_09160/Z
FE_OFC573_09160	BUF_X1	53.58	57.68	MX	FE_OFN571_09160	FE_OFN573_09160	12	13	24	FE_OFC571_09160/Z
FE_OFC572_09160	BUF_X1	60.8	52.08	MX	FE_OFN571_09160	FE_OFN572_09160	12	16	27	FE_OFC571_09160/Z
FE_OFC570_09155	BUF_X1	63.65	50.68	R0	FE_OFN568_09155	FE_OFN570_09155	16	16	31	FE_OFC568_09155/Z
FE_OFC569_09155	BUF_X1	60.8	68.88	MX	FE_OFN568_09155	FE_OFN569_09155	16	12	27	FE_OFC568_09155/Z
FE_OFC568_09155	BUF_X1	51.11	50.68	MY	_09155_	FE_OFN568_09155	2	16	17	_18456_/Z
FE_OFC567_09154	BUF_X1	68.21	53.48	R0	FE_OFN566_09154	FE_OFN567_09154	13	16	28	FE_OFC566_09154/Z
FE_OFC565_09133	BUF_X1	53.2	56.28	R0	FE_OFN564_09133	FE_OFN565_09133	13	12	24	FE_OFC564_09133/Z
FE_OFC564_09133	BUF_X1	51.49	53.48	R0	_09133_	FE_OFN564_09133	7	13	19	_18434_/Z
FE_OFC563_09132	BUF_X1	56.05	54.88	MX	FE_OFN562_09132	FE_OFN563_09132	13	14	26	FE_OFC562_09132/Z
FE_OFC561_09125	BUF_X1	50.54	53.48	MY	FE_OFN560_09125	FE_OFN561_09125	13	14	26	FE_OFC560_09125/Z
FE_OFC559_09124	BUF_X1	51.3	49.28	MX	FE_OFN558_09124	FE_OFN559_09124	11	11	21	FE_OFC558_09124/Z
FE_OFC557_09119	BUF_X1	54.15	50.68	R0	FE_OFN556_09119	FE_OFN557_09119	13	15	27	FE_OFC556_09119/Z
FE_OFC555_09118	BUF_X1	57.38	49.28	MX	FE_OFN554_09118	FE_OFN555_09118	12	16	27	FE_OFC554_09118/Z
FE_OFC553_09112	BUF_X1	62.89	67.48	R0	FE_OFN551_09112	FE_OFN553_09112	16	15	30	FE_OFC551_09112/Z
FE_OFC552_09112	BUF_X1	60.99	53.48	R0	FE_OFN551_09112	FE_OFN552_09112	16	16	31	FE_OFC551_09112/Z
FE_OFC551_09112	BUF_X1	52.25	52.08	MX	FE_OFN550_09112	FE_OFN551_09112	15	16	30	FE_OFC550_09112/Z
FE_OFC549_09111	BUF_X1	67.83	52.08	MX	FE_OFN547_09111	FE_OFN549_09111	14	14	27	FE_OFC547_09111/Z
FE_OFC548_09111	BUF_X1	48.45	53.48	MY	FE_OFN547_09111	FE_OFN548_09111	14	16	29	FE_OFC547_09111/Z
FE_OFC544_08497	BUF_X1	101.08	122.08	MX	FE_OFN543_08497	FE_OFN544_08497	16	9	24	FE_OFC543_08497/Z
FE_OFC542_08496	BUF_X1	114.0	112.28	MY	_08496_	FE_OFN542_08496	8	11	18	_17781_/ZN
FE_OFC541_08422	BUF_X1	102.41	103.88	MY	FE_OFN540_08422	FE_OFN541_08422	11	15	25	FE_OFC540_08422/Z
FE_OFC539_08421	BUF_X1	109.25	119.28	MX	FE_OFN538_08421	FE_OFN539_08421	15	15	29	FE_OFC538_08421/Z
FE_OFC537_08416	BUF_X1	98.99	115.08	R0	FE_OFN536_08416	FE_OFN537_08416	15	15	29	FE_OFC536_08416/Z
FE_OFC535_08415	BUF_X1	106.21	113.68	R180	_08415_	FE_OFN535_08415	10	14	23	_17700_/ZN
FE_OFC530_07970	BUF_X1	89.3	85.68	R180	FE_OFN529_07970	FE_OFN530_07970	12	11	22	FE_OFC529_07970/Z
FE_OFC528_07969	BUF_X1	87.59	84.28	R0	FE_OFN527_07969	FE_OFN528_07969	10	15	24	FE_OFC527_07969/Z
FE_OFC526_07961	BUF_X1	91.2	81.48	R0	_07961_	FE_OFN526_07961	9	16	24	_17035_/Z
FE_OFC525_07960	BUF_X1	86.07	81.48	MY	FE_OFN524_07960	FE_OFN525_07960	11	15	25	FE_OFC524_07960/Z
FE_OFC523_07954	BUF_X1	90.06	77.28	MX	FE_OFN522_07954	FE_OFN523_07954	12	13	24	FE_OFC522_07954/Z
FE_OFC521_07953	BUF_X1	83.41	84.28	R0	_07953_	FE_OFN521_07953	6	16	21	_17027_/ZN
FE_OFC520_07948	BUF_X1	93.48	95.48	R0	FE_OFN519_07948	FE_OFN520_07948	16	13	28	FE_OFC519_07948/Z
FE_OFC519_07948	BUF_X1	90.06	87.08	R0	FE_OFN518_07948	FE_OFN519_07948	16	16	31	FE_OFC518_07948/Z
FE_OFC517_07947	BUF_X1	95.38	75.88	R0	FE_OFN515_07947	FE_OFN517_07947	16	16	31	FE_OFC515_07947/Z
FE_OFC516_07947	BUF_X1	87.97	92.68	R0	FE_OFN515_07947	FE_OFN516_07947	16	13	28	FE_OFC515_07947/Z
FE_OFC514_07941	BUF_X1	98.42	81.48	R0	FE_OFN512_07941	FE_OFN514_07941	15	13	27	FE_OFC512_07941/Z
FE_OFC513_07941	BUF_X1	89.11	101.08	R0	FE_OFN511_07941	FE_OFN513_07941	14	12	25	FE_OFC511_07941/Z
FE_OFC512_07941	BUF_X1	88.16	82.88	MX	FE_OFN511_07941	FE_OFN512_07941	14	15	28	FE_OFC511_07941/Z
FE_OFC510_07940	BUF_X1	107.73	95.48	R0	FE_OFN508_07940	FE_OFN510_07940	14	13	26	FE_OFC508_07940/Z
FE_OFC509_07940	BUF_X1	99.18	77.28	MX	_07940_	FE_OFN509_07940	9	16	24	_17014_/ZN
FE_OFC508_07940	BUF_X1	94.62	84.28	R0	_07940_	FE_OFN508_07940	9	14	22	_17014_/ZN
FE_OFC507_07940	BUF_X1	87.59	85.68	R180	_07940_	FE_OFN507_07940	9	12	20	_17014_/ZN
FE_OFC506_07935	BUF_X1	106.59	78.68	R0	FE_OFN505_07935	FE_OFN506_07935	11	16	26	FE_OFC505_07935/Z
FE_OFC505_07935	BUF_X1	93.1	85.68	MX	FE_OFN504_07935	FE_OFN505_07935	11	11	21	FE_OFC504_07935/Z
FE_OFC503_07934	BUF_X1	90.06	84.28	R0	FE_OFN502_07934	FE_OFN503_07934	11	14	24	FE_OFC502_07934/Z
FE_OFC498_07580	BUF_X1	30.21	29.68	R180	FE_OFN497_07580	FE_OFN498_07580	16	15	30	FE_OFC497_07580/Z
FE_OFC496_07579	BUF_X1	14.82	26.88	MX	FE_OFN494_07579	FE_OFN496_07579	14	16	29	FE_OFC494_07579/Z
FE_OFC495_07579	BUF_X1	33.44	26.88	R180	FE_OFN494_07579	FE_OFN495_07579	14	13	26	FE_OFC494_07579/Z
FE_OFC492_07569	BUF_X1	28.88	31.08	MY	FE_OFN491_07569	FE_OFN492_07569	10	13	22	FE_OFC491_07569/Z
FE_OFC490_07564	BUF_X1	23.56	19.88	MY	_07564_	FE_OFN490_07564	12	16	27	_16582_/ZN
FE_OFC489_07563	BUF_X1	18.24	33.88	MY	_07563_	FE_OFN489_07563	11	16	26	_16581_/ZN
FE_OFC488_07552	BUF_X1	32.3	33.88	MY	_07552_	FE_OFN488_07552	8	12	19	_16570_/ZN
FE_OFC487_07551	BUF_X1	31.16	33.88	MY	_07551_	FE_OFN487_07551	5	14	18	_16569_/ZN
FE_OFC486_07541	BUF_X1	21.47	26.88	R180	FE_OFN3_07541	FE_OFN486_07541	11	16	26	FE_OFC3_07541/Z
FE_OFC485_07541	BUF_X1	34.58	19.88	MY	FE_OFN3_07541	FE_OFN485_07541	11	14	24	FE_OFC3_07541/Z
FE_OFC484_07541	BUF_X1	30.78	29.68	MX	FE_OFN3_07541	FE_OFN484_07541	11	12	22	FE_OFC3_07541/Z
FE_OFC483_07540	BUF_X1	18.43	22.68	MY	FE_OFN480_07540	FE_OFN483_07540	16	16	31	FE_OFC480_07540/Z
FE_OFC482_07540	BUF_X1	28.69	29.68	R180	FE_OFN480_07540	FE_OFN482_07540	16	13	28	FE_OFC480_07540/Z
FE_OFC481_07540	BUF_X1	35.72	21.28	R180	_07540_	FE_OFN481_07540	10	16	25	_16558_/ZN
FE_OFC480_07540	BUF_X1	34.01	26.88	R180	_07540_	FE_OFN480_07540	10	16	25	_16558_/ZN
FE_OFC479_07535	BUF_X1	31.16	17.08	MY	_07535_	FE_OFN479_07535	11	14	24	_16553_/ZN
FE_OFC478_07535	BUF_X1	27.55	28.28	R0	_07535_	FE_OFN478_07535	11	16	26	_16553_/ZN
FE_OFC476_07534	BUF_X1	23.75	28.28	MY	FE_OFN475_07534	FE_OFN476_07534	16	10	25	FE_OFC475_07534/Z
FE_OFC471_07108	BUF_X1	66.88	95.48	R0	FE_OFN470_07108	FE_OFN471_07108	15	16	30	FE_OFC470_07108/Z
FE_OFC470_07108	BUF_X1	61.37	85.68	R180	FE_OFN469_07108	FE_OFN470_07108	14	15	28	FE_OFC469_07108/Z
FE_OFC469_07108	BUF_X1	60.99	77.28	R180	FE_OFN468_07108	FE_OFN469_07108	12	14	25	FE_OFC468_07108/Z
FE_OFC467_07107	BUF_X1	74.67	88.48	MX	FE_OFN466_07107	FE_OFN467_07107	14	16	29	FE_OFC466_07107/Z
FE_OFC466_07107	BUF_X1	61.94	82.88	MX	FE_OFN465_07107	FE_OFN466_07107	15	14	28	FE_OFC465_07107/Z
FE_OFC465_07107	BUF_X1	60.8	74.48	MX	FE_OFN464_07107	FE_OFN465_07107	14	15	28	FE_OFC464_07107/Z
FE_OFC461_07082	BUF_X1	64.79	95.48	R0	FE_OFN460_07082	FE_OFN461_07082	13	11	23	FE_OFC460_07082/Z
FE_OFC460_07082	BUF_X1	56.62	87.08	R0	FE_OFN458_07082	FE_OFN460_07082	11	13	23	FE_OFC458_07082/Z
FE_OFC459_07082	BUF_X1	63.46	78.68	R0	FE_OFN458_07082	FE_OFN459_07082	11	16	26	FE_OFC458_07082/Z
FE_OFC457_07081	BUF_X1	78.85	81.48	MY	FE_OFN455_07081	FE_OFN457_07081	14	16	29	FE_OFC455_07081/Z
FE_OFC456_07081	BUF_X1	65.93	81.48	R0	FE_OFN455_07081	FE_OFN456_07081	14	11	24	FE_OFC455_07081/Z
FE_OFC455_07081	BUF_X1	60.23	78.68	R0	FE_OFN454_07081	FE_OFN455_07081	10	14	23	FE_OFC454_07081/Z
FE_OFC453_07073	BUF_X1	62.7	73.08	R0	_07073_	FE_OFN453_07073	8	16	23	_16082_/Z
FE_OFC452_07072	BUF_X1	60.42	84.28	R0	FE_OFN451_07072	FE_OFN452_07072	14	16	29	FE_OFC451_07072/Z
FE_OFC448_07051	BUF_X1	66.88	88.48	MX	FE_OFN447_07051	FE_OFN448_07051	13	15	27	FE_OFC447_07051/Z
FE_OFC446_07050	BUF_X1	72.58	74.48	MX	FE_OFN445_07050	FE_OFN446_07050	16	13	28	FE_OFC445_07050/Z
FE_OFC445_07050	BUF_X1	63.46	73.08	R0	_07050_	FE_OFN445_07050	2	16	17	_16059_/ZN
FE_OFC443_07044	BUF_X1	71.44	88.48	R180	FE_OFN442_07044	FE_OFN443_07044	10	12	21	FE_OFC442_07044/Z
FE_OFC440_06598	BUF_X1	134.71	45.08	R0	_06598_	FE_OFN440_06598	3	16	18	_15598_/Z
FE_OFC439_06597	BUF_X1	140.6	45.08	R0	_06597_	FE_OFN439_06597	5	16	20	_15597_/ZN
FE_OFC438_06591	BUF_X1	148.58	43.68	MX	FE_OFN437_06591	FE_OFN438_06591	16	16	31	FE_OFC437_06591/Z
FE_OFC437_06591	BUF_X1	136.8	42.28	R0	FE_OFN436_06591	FE_OFN437_06591	14	16	29	FE_OFC436_06591/Z
FE_OFC435_06590	BUF_X1	148.96	22.68	R0	FE_OFN434_06590	FE_OFN435_06590	14	16	29	FE_OFC434_06590/Z
FE_OFC434_06590	BUF_X1	141.36	31.08	R0	FE_OFN432_06590	FE_OFN434_06590	12	14	25	FE_OFC432_06590/Z
FE_OFC433_06590	BUF_X1	138.51	43.68	R180	FE_OFN432_06590	FE_OFN433_06590	12	10	21	FE_OFC432_06590/Z
FE_OFC431_06585	BUF_X1	151.05	35.28	R180	FE_OFN430_06585	FE_OFN431_06585	16	12	27	FE_OFC430_06585/Z
FE_OFC430_06585	BUF_X1	133.0	45.08	R0	_06585_	FE_OFN430_06585	2	16	17	_15585_/Z
FE_OFC429_06584	BUF_X1	152.0	38.08	MX	_06584_	FE_OFN429_06584	7	15	21	_15584_/ZN
FE_OFC428_06584	BUF_X1	133.76	45.08	R0	_06584_	FE_OFN428_06584	7	12	18	_15584_/ZN
FE_OFC427_06580	BUF_X1	143.83	28.28	R0	FE_OFN426_06580	FE_OFN427_06580	14	14	27	FE_OFC426_06580/Z
FE_OFC425_06579	BUF_X1	137.18	46.48	MX	_06579_	FE_OFN425_06579	6	16	21	_15579_/ZN
FE_OFC424_06574	BUF_X1	146.49	25.48	R0	FE_OFN422_06574	FE_OFN424_06574	15	14	28	FE_OFC422_06574/Z
FE_OFC423_06574	BUF_X1	135.85	22.68	MY	FE_OFN422_06574	FE_OFN423_06574	15	13	27	FE_OFC422_06574/Z
FE_OFC422_06574	BUF_X1	131.48	36.68	MY	FE_OFN421_06574	FE_OFN422_06574	13	15	27	FE_OFC421_06574/Z
FE_OFC420_06573	BUF_X1	136.61	35.28	MX	FE_OFN418_06573	FE_OFN420_06573	16	16	31	FE_OFC418_06573/Z
FE_OFC419_06573	BUF_X1	149.15	40.88	MX	_06573_	FE_OFN419_06573	8	16	23	_15573_/ZN
FE_OFC418_06573	BUF_X1	133.0	39.48	R0	_06573_	FE_OFN418_06573	8	16	23	_15573_/ZN
FE_OFC416_06567	BUF_X1	135.47	38.08	MX	_06567_	FE_OFN416_06567	5	15	19	_15567_/ZN
FE_OFC415_06562	BUF_X1	139.84	33.88	MY	FE_OFN414_06562	FE_OFN415_06562	15	12	26	FE_OFC414_06562/Z
FE_OFC414_06562	BUF_X1	132.24	39.48	R0	_06562_	FE_OFN414_06562	8	15	22	_15562_/Z
FE_OFC413_06561	BUF_X1	134.71	38.08	MX	FE_OFN412_06561	FE_OFN413_06561	16	16	31	FE_OFC412_06561/Z
FE_OFC408_05915	BUF_X1	100.13	61.88	R0	_05915_	FE_OFN408_05915	6	14	19	_14901_/Z
FE_OFC406_05884	BUF_X1	104.12	70.28	R0	FE_OFN405_05884	FE_OFN406_05884	14	16	29	FE_OFC405_05884/Z
FE_OFC404_05883	BUF_X1	114.38	67.48	R0	FE_OFN402_05883	FE_OFN404_05883	11	11	21	FE_OFC402_05883/Z
FE_OFC403_05883	BUF_X1	100.32	68.88	R180	FE_OFN402_05883	FE_OFN403_05883	11	11	21	FE_OFC402_05883/Z
FE_OFC400_05841	BUF_X1	120.65	70.28	R0	FE_OFN398_05841	FE_OFN400_05841	15	11	25	FE_OFC398_05841/Z
FE_OFC399_05841	BUF_X1	104.5	56.28	MY	FE_OFN397_05841	FE_OFN399_05841	13	16	28	FE_OFC397_05841/Z
FE_OFC398_05841	BUF_X1	105.26	67.48	R0	FE_OFN397_05841	FE_OFN398_05841	13	15	27	FE_OFC397_05841/Z
FE_OFC396_05840	BUF_X1	118.18	68.88	MX	FE_OFN394_05840	FE_OFN396_05840	16	16	31	FE_OFC394_05840/Z
FE_OFC395_05840	BUF_X1	107.73	63.28	MX	FE_OFN394_05840	FE_OFN395_05840	16	16	31	FE_OFC394_05840/Z
FE_OFC394_05840	BUF_X1	106.97	66.08	MX	FE_OFN393_05840	FE_OFN394_05840	15	16	30	FE_OFC393_05840/Z
FE_OFC392_05832	BUF_X1	121.98	50.68	R0	FE_OFN390_05832	FE_OFN392_05832	15	11	25	FE_OFC390_05832/Z
FE_OFC391_05832	BUF_X1	108.49	52.08	R180	FE_OFN390_05832	FE_OFN391_05832	15	12	26	FE_OFC390_05832/Z
FE_OFC390_05832	BUF_X1	111.53	64.68	R0	FE_OFN389_05832	FE_OFN390_05832	13	15	27	FE_OFC389_05832/Z
